y_velocity,angular_velocity,x_velocity,y_position,angle,x_position,right_leg_contact,left_leg_contact,action
0.09038389,0.37213904,0.85376215,0.91752857,0.43382707,0.44360316,0.0,0.0,2
0.12363073,0.3741212,0.85456276,0.9103845,0.4241464,0.44957983,0.0,0.0,2
0.13290429,0.3723798,0.85335827,0.90339476,0.4142669,0.4555349,0.0,0.0,2
0.13125038,0.3636627,0.84571683,0.89637816,0.40339217,0.46135432,0.0,0.0,2
0.1556173,0.36710763,0.8502574,0.88976675,0.39291075,0.46725288,0.0,0.0,2
0.17787087,0.36442938,0.8493881,0.8835255,0.3821236,0.47313482,0.0,0.0,2
0.2152347,0.3755765,0.8624028,0.877905,0.37260902,0.4792447,0.0,0.0,2
0.24010542,0.37906158,0.86807024,0.8726977,0.3634923,0.48545283,0.0,0.0,2
0.26534745,0.37652558,0.8684213,0.86791015,0.35408607,0.49166483,0.0,0.0,2
0.26760048,0.38164145,0.8748291,0.8631603,0.34526393,0.4979888,0.0,0.0,2
0.28628823,0.37729955,0.87364924,0.8587212,0.33594608,0.5042893,0.0,0.0,2
0.30252656,0.3862527,0.8850758,0.8545518,0.32765043,0.5107895,0.0,0.0,1
0.28001106,0.41449007,0.8785703,0.850007,0.32257846,0.5172026,0.0,0.0,2
0.30057922,0.41042903,0.87846565,0.8458042,0.3170429,0.5236108,0.0,0.0,1
0.27778944,0.4389361,0.8718709,0.8412212,0.3147619,0.5299305,0.0,0.0,2
0.29004538,0.44781467,0.883543,0.83684117,0.31349456,0.5364536,0.0,0.0,1
0.26685682,0.47252512,0.87778103,0.83207446,0.3150483,0.5428995,0.0,0.0,2
0.26668343,0.48006514,0.8870704,0.8273045,0.3174629,0.54950774,0.0,0.0,2
0.29616758,0.4741724,0.8861226,0.8230245,0.31920472,0.55609536,0.0,0.0,1
0.2737033,0.5064125,0.8786764,0.8183695,0.3246273,0.5625831,0.0,0.0,1
0.25069568,0.5373649,0.8714591,0.8133307,0.33358365,0.568974,0.0,0.0,2
0.26561412,0.54402906,0.88081074,0.80853987,0.34330082,0.57552767,0.0,0.0,2
0.27262202,0.5339538,0.87327236,0.80386627,0.35186768,0.58194643,0.0,0.0,2
0.28651103,0.52719814,0.869161,0.7994239,0.35966334,0.5882906,0.0,0.0,1
0.26303703,0.55248576,0.8632325,0.79459095,0.37034598,0.59455514,0.0,0.0,2
0.27125213,0.5563139,0.86855364,0.7898949,0.38146666,0.60091245,0.0,0.0,2
0.2760597,0.5662024,0.8793142,0.78527886,0.3937164,0.6074588,0.0,0.0,1
0.2527667,0.59776694,0.871945,0.7802762,0.4095701,0.61390626,0.0,0.0,2
0.27531844,0.60732484,0.8822478,0.77564895,0.42651507,0.6205348,0.0,0.0,2
0.2902535,0.6174936,0.89250207,0.771271,0.44462112,0.62734413,0.0,0.0,1
0.26684856,0.64483905,0.88611734,0.7665059,0.46584934,0.63406783,0.0,0.0,2
0.28937998,0.65591437,0.8960714,0.7621172,0.48834217,0.64096785,0.0,0.0,1
0.26622185,0.6827905,0.88978374,0.7573469,0.5139036,0.6477834,0.0,0.0,2
0.29416943,0.6827413,0.88720673,0.75304353,0.53945947,0.6545552,0.0,0.0,2
0.3131193,0.68913513,0.8905335,0.74905807,0.5657453,0.66138804,0.0,0.0,0
0.28970584,0.6891303,0.8905351,0.74468684,0.59203064,0.6682207,0.0,0.0,0
0.26629236,0.68912554,0.8905372,0.73992956,0.6183154,0.67505294,0.0,0.0,2
0.26838654,0.6942457,0.89237356,0.7352105,0.6451848,0.6819198,0.0,0.0,3
0.2463221,0.66149485,0.89984864,0.7301246,0.6683147,0.6888864,0.0,0.0,2
0.24481633,0.66962457,0.9043001,0.72501695,0.6923729,0.69593394,0.0,0.0,2
0.2826636,0.6798546,0.90352434,0.72054166,0.7175992,0.7029758,0.0,0.0,3
0.2602175,0.6470523,0.9110774,0.7156915,0.7390802,0.7101188,0.0,0.0,2
0.29382563,0.6542691,0.90621656,0.7114027,0.76138514,0.71718526,0.0,0.0,3
0.27144784,0.63117486,0.9114398,0.7067404,0.78105325,0.7243211,0.0,0.0,2
0.30185264,0.64065236,0.9078728,0.7025864,0.80180347,0.7314038,0.0,0.0,3
0.27962056,0.61344683,0.9140326,0.69806,0.81944746,0.73856866,0.0,0.0,2
0.2957306,0.6230886,0.91299844,0.6938042,0.83819234,0.74572325,0.0,0.0,3
0.27357915,0.59328353,0.91975886,0.68917614,0.8535341,0.75296843,0.0,0.0,2
0.2915163,0.582753,0.89706314,0.68484485,0.8676736,0.7598231,0.0,0.0,2
0.31330255,0.5719468,0.87244725,0.680874,0.8805792,0.766255,0.0,0.0,3
0.29180303,0.5447664,0.87831706,0.6765408,0.8903814,0.7727647,0.0,0.0,2
0.3217445,0.5350826,0.8513723,0.6727032,0.8990779,0.7788132,0.0,0.0,2
0.34811562,0.52541184,0.8252424,0.6693018,0.90667033,0.7844144,0.0,0.0,3
0.32627028,0.49941066,0.83095765,0.6655318,0.911294,0.7900919,0.0,0.0,2
0.36036113,0.5008169,0.8129254,0.66232836,0.9160782,0.795467,0.0,0.0,3
0.3383054,0.4773697,0.81810343,0.65875345,0.91818523,0.8009114,0.0,0.0,2
0.36718065,0.4712573,0.7939446,0.6556567,0.9195944,0.80594456,0.0,0.0,2
0.36674118,0.466533,0.7812428,0.65255153,0.92046416,0.81076026,0.0,0.0,2
0.38590872,0.46775317,0.7677739,0.6497651,0.92147315,0.8153501,0.0,0.0,3
0.36465287,0.43979627,0.77371,0.6466192,0.9192902,0.82001865,0.0,0.0,2
0.37136889,0.4378575,0.7613703,0.64358443,0.9168858,0.8244779,0.0,0.0,2
0.4000435,0.44069806,0.7464011,0.64102656,0.9148058,0.82868755,0.0,0.0,0
0.376652,0.44069806,0.7464011,0.6380801,0.9127258,0.83289695,0.0,0.0,2
0.39482582,0.44280812,0.7344226,0.63543606,0.9108867,0.83690643,0.0,0.0,3
0.37319922,0.4204732,0.73914504,0.6324279,0.9064975,0.8409784,0.0,0.0,2
0.38765508,0.42964536,0.7357433,0.6296619,0.90315545,0.84499997,0.0,0.0,2
0.38740942,0.43686336,0.735343,0.62689334,0.90063757,0.8490205,0.0,0.0,2
0.40174013,0.4442441,0.7303341,0.62436455,0.8989624,0.852962,0.0,0.0,0
0.3783487,0.4442441,0.7303341,0.6214473,0.89728725,0.85690373,0.0,0.0,2
0.37847376,0.447661,0.7260745,0.61853296,0.8960022,0.86077636,0.0,0.0,2
0.3865288,0.4521986,0.72037625,0.61575323,0.8952353,0.86455643,0.0,0.0,3
0.36492628,0.4301212,0.7250347,0.6126099,0.8919475,0.8683982,0.0,0.0,2
0.39228952,0.42028958,0.69870746,0.6099192,0.8875373,0.8717892,0.0,0.0,2
0.40295607,0.4187292,0.6862316,0.60740525,0.88294894,0.8749689,0.0,0.0,2
