x,y,v_x,v_y,angle,v_angle,right_leg,left_leg,action
0.43023238,0.92990553,0.74045277,0.8282001,0.38293505,0.351124,0.0,0.0,1
0.43420616,0.9340358,0.7353932,0.8062407,0.37834027,0.37221122,0.0,0.0,1
0.43810722,0.9377751,0.7292372,0.7831477,0.37640238,0.3989136,0.0,0.0,1
0.441923,0.94112015,0.72203314,0.7598559,0.3775667,0.43009207,0.0,0.0,1
0.4456734,0.94408077,0.7165148,0.7371416,0.38110763,0.45397785,0.0,0.0,1
0.449355,0.9466557,0.7106839,0.714336,0.3871581,0.47919956,0.0,0.0,1
0.4529711,0.9488482,0.7051457,0.6917094,0.39558908,0.5031246,0.0,0.0,1
0.45650792,0.95065767,0.6984502,0.6690299,0.40689635,0.5320326,0.0,0.0,1
0.45996302,0.9520736,0.6915442,0.6457019,0.42117107,0.5618564,0.0,0.0,0
0.4634177,0.95310205,0.6915245,0.6227156,0.43544284,0.56182635,0.0,0.0,0
0.46687213,0.9537429,0.69150513,0.59972894,0.4497128,0.56180906,0.0,0.0,0
0.47032616,0.95399606,0.691486,0.57674193,0.46398056,0.56178594,0.0,0.0,3
0.47384784,0.9538596,0.69721746,0.5537049,0.47577584,0.53693676,0.0,0.0,0
0.47736937,0.95333505,0.6972023,0.53072006,0.4875703,0.5369287,0.0,0.0,0
0.48089054,0.95242244,0.69718707,0.5077348,0.4993624,0.53690505,0.0,0.0,0
0.48441142,0.951122,0.69717145,0.48474932,0.5111526,0.53688616,0.0,0.0,3
0.48799068,0.949443,0.7021251,0.4624346,0.5207759,0.5151075,0.0,0.0,0
0.4915697,0.9473757,0.70211333,0.43945074,0.5303986,0.51510173,0.0,0.0,0
0.49514848,0.94492024,0.70210123,0.4164669,0.5400194,0.51508266,0.0,0.0,3
0.49880162,0.94208384,0.70840013,0.39406356,0.54690325,0.48757493,0.0,0.0,0
0.5024546,0.9388588,0.7083923,0.3710819,0.55378723,0.48757598,0.0,0.0,0
0.5061074,0.9352453,0.7083839,0.3480999,0.56066954,0.48756015,0.0,0.0,0
0.50976,0.9312433,0.70837516,0.32511783,0.56755084,0.48754945,0.0,0.0,2
0.51336753,0.92775005,0.7051133,0.35513997,0.5748919,0.49217057,0.0,0.0,0
0.51697475,0.92386806,0.70510536,0.33214808,0.5822315,0.49215588,0.0,0.0,3
0.52066207,0.9195947,0.7118467,0.30919996,0.5866832,0.4631272,0.0,0.0,2
0.52431345,0.9156635,0.7092201,0.3293842,0.59158075,0.4676075,0.0,0.0,2
0.5277279,0.9119956,0.69368815,0.34501308,0.5955361,0.45813948,0.0,0.0,2
0.53096116,0.9087125,0.68167377,0.3677868,0.5990486,0.45368853,0.0,0.0,0
0.53419435,0.90504074,0.6816738,0.3448093,0.6025611,0.45368847,0.0,0.0,2
0.53735185,0.90175027,0.67643744,0.36731905,0.60635054,0.4564717,0.0,0.0,3
0.54058766,0.8980795,0.6830725,0.3450711,0.6072589,0.42751858,0.0,0.0,2
0.543591,0.89482653,0.66771835,0.3698154,0.6074641,0.4204521,0.0,0.0,1
0.5465127,0.891166,0.6607837,0.3454836,0.6107369,0.45128053,0.0,0.0,3
0.5494966,0.887133,0.6660709,0.32365188,0.6116595,0.42766234,0.0,0.0,2
0.55232763,0.88336545,0.65591544,0.33936727,0.6122625,0.42444944,0.0,0.0,2
0.5551588,0.87990314,0.6555872,0.35735166,0.6135989,0.43181992,0.0,0.0,2
0.55781066,0.87698954,0.6435826,0.38980213,0.6147475,0.42993364,0.0,0.0,0
0.56046236,0.8736872,0.6435826,0.3668251,0.6158962,0.42993367,0.0,0.0,0
0.5631142,0.8699963,0.64358264,0.34384808,0.61704487,0.42993364,0.0,0.0,2
0.5655813,0.8667835,0.6312658,0.37214127,0.61791086,0.4270921,0.0,0.0,3
0.56810987,0.8631976,0.63648635,0.3502741,0.6164571,0.40378082,0.0,0.0,2
0.5706332,0.8598612,0.6358261,0.36496827,0.61565423,0.41032207,0.0,0.0,2
0.57302463,0.856678,0.62706983,0.37405765,0.61456275,0.40742058,0.0,0.0,2
0.5752529,0.85408145,0.6160867,0.4087267,0.6134348,0.40705538,0.0,0.0,1
0.57742375,0.85108596,0.6112348,0.38497427,0.61443704,0.42846194,0.0,0.0,3
0.57964563,0.8477129,0.61556184,0.3628059,0.613528,0.40925485,0.0,0.0,2
0.5818541,0.8444062,0.61446553,0.3667038,0.6130127,0.41321066,0.0,0.0,2
0.5840597,0.84135944,0.6139649,0.3820187,0.6131654,0.41992506,0.0,0.0,0
0.5862653,0.83792406,0.61396486,0.3590417,0.6133181,0.41992506,0.0,0.0,2
0.58840346,0.8350168,0.6091729,0.39021263,0.61399794,0.42522207,0.0,0.0,3
0.59059745,0.8317285,0.6138955,0.36785978,0.61261725,0.40451515,0.0,0.0,2
